controller,n,seed,placed,completed,mwt,mean_time_loss,mean_in_system,departed,action_hold,action_expert,action_override
qlearning,1000,0,1000,521,97.6852207293666,183.48046065259118,260.39217318900916,868,0,0,0
qlearning,1000,1,1000,883,190.75084937712344,345.84764439411094,259.7277268942548,907,0,0,0
qlearning,1000,2,1000,747,201.47791164658634,349.2619946452476,269.30474604496254,874,0,0,0
qlearning,1000,3,1000,381,75.31233595800525,141.72503937007875,313.7377185678601,808,0,0,0
qlearning,1000,4,1000,912,150.84429824561403,302.1980372807017,249.41382181515405,912,0,0,0
qlearning,1000,5,1000,702,169.75783475783476,282.3023789173789,252.8059950041632,912,0,0,0
qlearning,1000,6,1000,546,139.07142857142858,236.21018315018313,284.714404662781,891,0,0,0
qlearning,1000,7,1000,914,150.0098468271335,297.0096498905908,233.56119900083263,914,0,0,0
qlearning,1000,8,1000,809,200.3114956736712,346.7395920889988,269.7268942547877,907,0,0,0
qlearning,1000,9,1000,907,187.16207276736495,342.8793825799338,250.63946711074104,915,0,0,0
qlearning,1300,0,1300,280,108.64642857142857,199.12035714285713,430.94004995836804,849,0,0,0
qlearning,1300,1,1300,247,70.63967611336032,141.9223886639676,428.12656119900083,817,0,0,0
qlearning,1300,2,1300,280,106.30714285714286,195.56067857142855,425.5004163197336,826,0,0,0
qlearning,1300,3,1300,241,75.70954356846472,143.68746887966805,448.6286427976686,826,0,0,0
qlearning,1300,4,1300,354,96.63559322033899,187.8757344632768,413.3097418817652,915,0,0,0
qlearning,1300,5,1300,286,94.53146853146853,168.02751748251748,423.6519567027477,848,0,0,0
qlearning,1300,6,1300,321,101.6386292834891,195.04454828660437,409.0008326394671,869,0,0,0
qlearning,1300,7,1300,357,100.63025210084034,190.1686554621849,410.7843463780183,907,0,0,0
qlearning,1300,8,1300,383,85.64490861618799,165.1884595300261,402.19483763530394,927,0,0,0
qlearning,1300,9,1300,349,101.84240687679083,194.69157593123208,401.51540383014157,896,0,0,0
qlearning,1700,0,1700,153,75.73202614379085,145.3307843137255,517.3463780183181,758,0,0,0
